"table","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"cff_types","`data`","A data set","``data``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`database`","An aggregated or online database","``database``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`dictionary`",NA,"``dictionary``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`edited-work`","An edited work, e.g., a book","``edited-work``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`encyclopedia`",NA,"``encyclopedia``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`film-broadcast`","A film or broadcast","``film-broadcast``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`generic`","The fallback type","``generic``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`government-document`",NA,"``government-document``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`grant`","A research or other grant","``grant``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`hearing`",NA,"``hearing``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`historical-work`","A historical work, e.g., a medieval manuscript","``historical-work``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`legal-case`",NA,"``legal-case``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`legal-rule`",NA,"``legal-rule``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`magazine-article`",NA,"``magazine-article``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`manual`","A manual","``manual``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`map`","A geographical map","``map``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`multimedia`","A multimedia file","``multimedia``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`music`","A music file or sheet music","``music``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
